"","X","pais","CountryCode","indicador","year","m3","AL"
"84",241,"South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)","2018",1092.438214,0
"85",73,"Ethiopia","ETH","Renewable internal freshwater resources per capita (cubic meters)","2018",1116.966436,0
"86",175,"Nigeria","NGA","Renewable internal freshwater resources per capita (cubic meters)","2018",1128.272395,0
"87",451,"Pakistan","PAK","Renewable internal freshwater resources per capita (cubic meters)","1962",1165.28174,0
"88",101,"Haiti","HTI","Renewable internal freshwater resources per capita (cubic meters)","2018",1169.359526,0
"89",520,"St. Vincent and the Grenadines","VCT","Renewable internal freshwater resources per capita (cubic meters)","1962",1201.359939,0
"90",215,"Serbia","SRB","Renewable internal freshwater resources per capita (cubic meters)","2018",1203.992092,0
"91",274,"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","1962",1208.615449,0
"92",249,"Ukraine","UKR","Renewable internal freshwater resources per capita (cubic meters)","2018",1234.802572,0
"93",55,"Czech Republic","CZE","Renewable internal freshwater resources per capita (cubic meters)","2018",1237.07329,0
"94",127,"Korea, Rep.","KOR","Renewable internal freshwater resources per capita (cubic meters)","2018",1257.146982,0
"95",3,"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","2018",1268.430511,0
"96",56,"Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","2018",1290.621684,0
"97",325,"Denmark","DNK","Renewable internal freshwater resources per capita (cubic meters)","1962",1290.953621,0
"98",284,"Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","1962",1301.436851,0
"99",87,"Gambia, The","GMB","Renewable internal freshwater resources per capita (cubic meters)","2018",1315.736383,0
"100",275,"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","1962",1337.947767,0
"101",320,"Cyprus","CYP","Renewable internal freshwater resources per capita (cubic meters)","1962",1350.191104,0
"102",191,"Poland","POL","Renewable internal freshwater resources per capita (cubic meters)","2018",1411.464197,0
"103",314,"Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)","1962",1427.612888,0
"104",47,"Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)","2018",1441.749707,0
"105",322,"Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","1962",1445.442307,0
"106",233,"Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)","2018",1457.708394,0
"107",494,"Syrian Arab Republic","SYR","Renewable internal freshwater resources per capita (cubic meters)","1962",1462.845629,0
"108",247,"Tanzania","TZA","Renewable internal freshwater resources per capita (cubic meters)","2018",1491.65091,0
"109",113,"Iran, Islamic Rep.","IRN","Renewable internal freshwater resources per capita (cubic meters)","2018",1570.900728,0
"110",208,"Senegal","SEN","Renewable internal freshwater resources per capita (cubic meters)","2018",1627.316308,0
"111",145,"Luxembourg","LUX","Renewable internal freshwater resources per capita (cubic meters)","2018",1644.872111,0
"112",134,"St. Lucia","LCA","Renewable internal freshwater resources per capita (cubic meters)","2018",1649.348507,0
"113",457,"Poland","POL","Renewable internal freshwater resources per capita (cubic meters)","1962",1768.480789,0
"114",91,"Grenada","GRD","Renewable internal freshwater resources per capita (cubic meters)","2018",1794.542795,0
"115",24,"Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","2018",1815.187937,0
"116",303,"Central Europe and the Baltics","CEB","Renewable internal freshwater resources per capita (cubic meters)","1962",1833.887491,0
"117",41,"China","CHN","Renewable internal freshwater resources per capita (cubic meters)","2018",2005.261057,0
"118",446,"Nauru","NRU","Renewable internal freshwater resources per capita (cubic meters)","1962",2023.472278,0
"119",420,"Middle East & North Africa","MEA","Renewable internal freshwater resources per capita (cubic meters)","1962",2068.221311,0
"120",287,"Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","1962",2068.87787,0
"121",480,"Somalia","SOM","Renewable internal freshwater resources per capita (cubic meters)","1962",2087.526507,0
"122",357,"Grenada","GRD","Renewable internal freshwater resources per capita (cubic meters)","1962",2162.606373,0
"123",168,"Mauritius","MUS","Renewable internal freshwater resources per capita (cubic meters)","2018",2174.182785,0
"124",202,"Romania","ROU","Renewable internal freshwater resources per capita (cubic meters)","2018",2176.238333,0
"125",82,"United Kingdom","GBR","Renewable internal freshwater resources per capita (cubic meters)","2018",2181.752174,0
"126",428,"Middle East & North Africa (excluding high income)","MNA","Renewable internal freshwater resources per capita (cubic meters)","1962",2187.14414,0
"127",505,"Middle East & North Africa (IDA & IBRD countries)","TMN","Renewable internal freshwater resources per capita (cubic meters)","1962",2187.14414,0
"128",60,"Dominican Republic","DOM","Renewable internal freshwater resources per capita (cubic meters)","2018",2211.317864,0
"129",415,"Morocco","MAR","Renewable internal freshwater resources per capita (cubic meters)","1962",2214.604323,0
"130",193,"Puerto Rico","PRI","Renewable internal freshwater resources per capita (cubic meters)","2018",2223.367657,0
"131",468,"Romania","ROU","Renewable internal freshwater resources per capita (cubic meters)","1962",2269.155706,0
"132",222,"Slovak Republic","SVK","Renewable internal freshwater resources per capita (cubic meters)","2018",2313.297181,0
"133",225,"Eswatini","SWZ","Renewable internal freshwater resources per capita (cubic meters)","2018",2323.383268,0
"134",11,"Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","2018",2323.713361,0
"135",217,"South Sudan","SSD","Renewable internal freshwater resources per capita (cubic meters)","2018",2368.821067,0
"136",71,"Spain","ESP","Renewable internal freshwater resources per capita (cubic meters)","2018",2376.182413,0
"137",388,"Kenya","KEN","Renewable internal freshwater resources per capita (cubic meters)","1962",2393.893282,0
"138",449,"Oman","OMN","Renewable internal freshwater resources per capita (cubic meters)","1962",2418.684685,0
"139",212,"El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)","2018",2434.29885,1
"140",139,"Sri Lanka","LKA","Renewable internal freshwater resources per capita (cubic meters)","2018",2436.548223,0
"141",37,"Central Europe and the Baltics","CEB","Renewable internal freshwater resources per capita (cubic meters)","2018",2440.15779,0
"142",393,"Korea, Rep.","KOR","Renewable internal freshwater resources per capita (cubic meters)","1962",2445.967134,0
"143",142,"Lesotho","LSO","Renewable internal freshwater resources per capita (cubic meters)","2018",2480.639863,0
"144",397,"Lebanon","LBN","Renewable internal freshwater resources per capita (cubic meters)","1962",2493.12443,0
"145",530,"South Africa","ZAF","Renewable internal freshwater resources per capita (cubic meters)","1962",2493.636079,0
"146",172,"Namibia","NAM","Renewable internal freshwater resources per capita (cubic meters)","2018",2516.031532,0
"147",286,"Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","1962",2519.994646,0
"148",158,"North Macedonia","MKD","Renewable internal freshwater resources per capita (cubic meters)","2018",2600.884204,0
"149",288,"Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","1962",2620.758957,0
"150",194,"Korea, Dem. People's Rep.","PRK","Renewable internal freshwater resources per capita (cubic meters)","2018",2622.349636,0
"151",348,"United Kingdom","GBR","Renewable internal freshwater resources per capita (cubic meters)","1962",2723.004695,0
"152",245,"Turkiye","TUR","Renewable internal freshwater resources per capita (cubic meters)","2018",2756.858779,0
"153",243,"Trinidad and Tobago","TTO","Renewable internal freshwater resources per capita (cubic meters)","2018",2762.905973,0
"154",58,"Dominica","DMA","Renewable internal freshwater resources per capita (cubic meters)","2018",2792.282132,0
"155",140,"Lower middle income","LMC","Renewable internal freshwater resources per capita (cubic meters)","2018",2813.326204,0
"156",459,"Puerto Rico","PRI","Renewable internal freshwater resources per capita (cubic meters)","1962",2897.578359,0
"157",69,"Euro area","EMU","Renewable internal freshwater resources per capita (cubic meters)","2018",2950.21038,0
"158",78,"France","FRA","Renewable internal freshwater resources per capita (cubic meters)","2018",2980.540202,0
"159",22,"Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","2018",2989.308099,0
"160",117,"Italy","ITA","Renewable internal freshwater resources per capita (cubic meters)","2018",3020.435022,0
"161",106,"IDA blend","IDB","Renewable internal freshwater resources per capita (cubic meters)","2018",3021.455076,0
"162",532,"Zimbabwe","ZWE","Renewable internal freshwater resources per capita (cubic meters)","1962",3035.247743,0
"163",74,"European Union","EUU","Renewable internal freshwater resources per capita (cubic meters)","2018",3042.502839,0
"164",42,"Cote d'Ivoire","CIV","Renewable internal freshwater resources per capita (cubic meters)","2018",3065.112581,0
"165",376,"India","IND","Renewable internal freshwater resources per capita (cubic meters)","1962",3082.648288,0
"166",2,"Africa Eastern and Southern","AFE","Renewable internal freshwater resources per capita (cubic meters)","2018",3087.622821,0
"167",470,"Rwanda","RWA","Renewable internal freshwater resources per capita (cubic meters)","1962",3111.757629,0
"168",411,"Luxembourg","LUX","Renewable internal freshwater resources per capita (cubic meters)","1962",3117.692907,0
"169",159,"Mali","MLI","Renewable internal freshwater resources per capita (cubic meters)","2018",3145.024139,0
"170",323,"Djibouti","DJI","Renewable internal freshwater resources per capita (cubic meters)","1962",3184.611955,0
"171",324,"Dominica","DMA","Renewable internal freshwater resources per capita (cubic meters)","1962",3226.951499,0
"172",234,"Thailand","THA","Renewable internal freshwater resources per capita (cubic meters)","2018",3233.688597,0
"173",367,"Haiti","HTI","Renewable internal freshwater resources per capita (cubic meters)","1962",3236.239513,0
"174",155,"Mexico","MEX","Renewable internal freshwater resources per capita (cubic meters)","2018",3241.124221,1
"175",400,"St. Lucia","LCA","Renewable internal freshwater resources per capita (cubic meters)","1962",3264.702042,0
"176",471,"South Asia","SAS","Renewable internal freshwater resources per capita (cubic meters)","1962",3345.939029,0
"177",507,"South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)","1962",3345.939029,0
"178",51,"Cuba","CUB","Renewable internal freshwater resources per capita (cubic meters)","2018",3362.101705,0
"179",120,"Japan","JPN","Renewable internal freshwater resources per capita (cubic meters)","2018",3390.873032,0
"180",166,"Mozambique","MOZ","Renewable internal freshwater resources per capita (cubic meters)","2018",3400.460042,0
"181",283,"Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","1962",3460.231416,0
"182",121,"Kazakhstan","KAZ","Renewable internal freshwater resources per capita (cubic meters)","2018",3520.924083,0
"183",337,"Spain","ESP","Renewable internal freshwater resources per capita (cubic meters)","1962",3584.395065,0
"184",383,"Italy","ITA","Renewable internal freshwater resources per capita (cubic meters)","1962",3586.909843,0
"185",216,"Sub-Saharan Africa (excluding high income)","SSA","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462,0
"186",218,"Sub-Saharan Africa","SSF","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462,0
"187",242,"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462,0
"188",26,"Belarus","BLR","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.158541,0
"189",335,"Euro area","EMU","Renewable internal freshwater resources per capita (cubic meters)","1962",3614.716157,0
"190",340,"European Union","EUU","Renewable internal freshwater resources per capita (cubic meters)","1962",3654.582351,0
"191",118,"Jamaica","JAM","Renewable internal freshwater resources per capita (cubic meters)","2018",3687.748586,0
"192",195,"Portugal","PRT","Renewable internal freshwater resources per capita (cubic meters)","2018",3695.124245,0
"193",63,"Early-demographic dividend","EAR","Renewable internal freshwater resources per capita (cubic meters)","2018",3719.964249,0
"194",258,"Vietnam","VNM","Renewable internal freshwater resources per capita (cubic meters)","2018",3761.749882,0
"195",192,"Pre-demographic dividend","PRE","Renewable internal freshwater resources per capita (cubic meters)","2018",3882.395744,0
"196",434,"Mauritius","MUS","Renewable internal freshwater resources per capita (cubic meters)","1962",3928.041591,0
"197",137,"Low income","LIC","Renewable internal freshwater resources per capita (cubic meters)","2018",4047.627242,0
"198",7,"Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","2018",4098.275504,0
"199",285,"Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","1962",4115.23127,0
"200",344,"France","FRA","Renewable internal freshwater resources per capita (cubic meters)","1962",4174.940093,0
"201",105,"IDA total","IDA","Renewable internal freshwater resources per capita (cubic meters)","2018",4178.968268,0
"202",62,"East Asia & Pacific (excluding high income)","EAP","Renewable internal freshwater resources per capita (cubic meters)","2018",4200.134389,0
"203",435,"Malawi","MWI","Renewable internal freshwater resources per capita (cubic meters)","1962",4204.168378,0
"204",231,"East Asia & Pacific (IDA & IBRD countries)","TEA","Renewable internal freshwater resources per capita (cubic meters)","2018",4219.634346,0
"205",307,"China","CHN","Renewable internal freshwater resources per capita (cubic meters)","1962",4225.032669,0
"206",461,"Portugal","PRT","Renewable internal freshwater resources per capita (cubic meters)","1962",4225.045961,0
"207",350,"Ghana","GHA","Renewable internal freshwater resources per capita (cubic meters)","1962",4284.522861,0
"208",4,"Africa Western and Central","AFW","Renewable internal freshwater resources per capita (cubic meters)","2018",4361.929784,0
"209",509,"Trinidad and Tobago","TTO","Renewable internal freshwater resources per capita (cubic meters)","1962",4366.434851,0
"210",64,"East Asia & Pacific","EAS","Renewable internal freshwater resources per capita (cubic meters)","2018",4383.45694,0
"211",188,"Philippines","PHL","Renewable internal freshwater resources per capita (cubic meters)","2018",4491.268065,0
"212",386,"Japan","JPN","Renewable internal freshwater resources per capita (cubic meters)","1962",4529.510286,0
"213",136,"Least developed countries: UN classification","LDC","Renewable internal freshwater resources per capita (cubic meters)","2018",4546.9264,0
"214",300,"Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)","1962",4582.102689,0
"215",380,"Iraq","IRQ","Renewable internal freshwater resources per capita (cubic meters)","1962",4586.78716,0
"216",265,"Zambia","ZMB","Renewable internal freshwater resources per capita (cubic meters)","2018",4622.021778,0
"217",441,"Nigeria","NGA","Renewable internal freshwater resources per capita (cubic meters)","1962",4699.146401,0
"218",38,"Switzerland","CHE","Renewable internal freshwater resources per capita (cubic meters)","2018",4744.94232,0
"219",108,"IDA only","IDX","Renewable internal freshwater resources per capita (cubic meters)","2018",4766.398782,0
"220",5,"Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","2018",4803.668393,0
"221",496,"Chad","TCD","Renewable internal freshwater resources per capita (cubic meters)","1962",4805.803873,0
"222",141,"Low & middle income","LMY","Renewable internal freshwater resources per capita (cubic meters)","2018",5015.978731,0
"223",269,"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","1962",5042.003148,0
"224",405,"Sri Lanka","LKA","Renewable internal freshwater resources per capita (cubic meters)","1962",5100.374993,0
"225",317,"Cuba","CUB","Renewable internal freshwater resources per capita (cubic meters)","1962",5114.351781,0
"226",157,"Middle income","MIC","Renewable internal freshwater resources per capita (cubic meters)","2018",5126.2968,0
"227",99,"Heavily indebted poor countries (HIPC)","HPC","Renewable internal freshwater resources per capita (cubic meters)","2018",5194.65269,0
"228",104,"IDA & IBRD total","IBT","Renewable internal freshwater resources per capita (cubic meters)","2018",5259.815425,0
"229",478,"El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)","1962",5332.310767,1
"230",90,"Greece","GRC","Renewable internal freshwater resources per capita (cubic meters)","2018",5403.953943,0
"231",514,"Uganda","UGA","Renewable internal freshwater resources per capita (cubic meters)","1962",5404.806869,0
"232",75,"Fragile and conflict affected situations","FCS","Renewable internal freshwater resources per capita (cubic meters)","2018",5420.113831,0
"233",144,"Lithuania","LTU","Renewable internal freshwater resources per capita (cubic meters)","2018",5518.387546,0
"234",379,"Iran, Islamic Rep.","IRN","Renewable internal freshwater resources per capita (cubic meters)","1962",5569.688309,0
"235",103,"IBRD only","IBD","Renewable internal freshwater resources per capita (cubic meters)","2018",5628.143557,0
"236",460,"Korea, Dem. People's Rep.","PRK","Renewable internal freshwater resources per capita (cubic meters)","1962",5643.66125,0
"237",260,"World","WLD","Renewable internal freshwater resources per capita (cubic meters)","2018",5658.060037,0
"238",290,"Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","1962",5780.728702,0
"239",408,"Lesotho","LSO","Renewable internal freshwater resources per capita (cubic meters)","1962",6017.497917,0
"240",313,"Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)","1962",6085.130982,0
"241",15,"Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","2018",6221.352791,0
"242",384,"Jamaica","JAM","Renewable internal freshwater resources per capita (cubic meters)","1962",6455.711303,0
"243",238,"Timor-Leste","TLS","Renewable internal freshwater resources per capita (cubic meters)","2018",6478.834362,0
