"","pais","CountryCode","indicador","year","m3"
"233","Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)","2018",1457.708394
"234","Thailand","THA","Renewable internal freshwater resources per capita (cubic meters)","2018",3233.688597
"235","Tajikistan","TJK","Renewable internal freshwater resources per capita (cubic meters)","2018",6972.97735
"236","Turkmenistan","TKM","Renewable internal freshwater resources per capita (cubic meters)","2018",240.1339144
"237","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Renewable internal freshwater resources per capita (cubic meters)","2018",22125.41791
"238","Timor-Leste","TLS","Renewable internal freshwater resources per capita (cubic meters)","2018",6478.834362
"239","Middle East & North Africa (IDA & IBRD countries)","TMN","Renewable internal freshwater resources per capita (cubic meters)","2018",594.2501902
"241","South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)","2018",1092.438214
"242","Sub-Saharan Africa (IDA & IBRD countries)","TSS","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462
"243","Trinidad and Tobago","TTO","Renewable internal freshwater resources per capita (cubic meters)","2018",2762.905973
"244","Tunisia","TUN","Renewable internal freshwater resources per capita (cubic meters)","2018",362.7260153
"245","Turkiye","TUR","Renewable internal freshwater resources per capita (cubic meters)","2018",2756.858779
"247","Tanzania","TZA","Renewable internal freshwater resources per capita (cubic meters)","2018",1491.65091
"248","Uganda","UGA","Renewable internal freshwater resources per capita (cubic meters)","2018",912.7283763
"249","Ukraine","UKR","Renewable internal freshwater resources per capita (cubic meters)","2018",1234.802572
"250","Upper middle income","UMC","Renewable internal freshwater resources per capita (cubic meters)","2018",8157.52991
"251","Uruguay","URY","Renewable internal freshwater resources per capita (cubic meters)","2018",26730.13867
"252","United States","USA","Renewable internal freshwater resources per capita (cubic meters)","2018",8622.003207
"253","Uzbekistan","UZB","Renewable internal freshwater resources per capita (cubic meters)","2018",495.8110942
"254","St. Vincent and the Grenadines","VCT","Renewable internal freshwater resources per capita (cubic meters)","2018",907.3586789
"255","Venezuela, RB","VEN","Renewable internal freshwater resources per capita (cubic meters)","2018",27867.09383
"258","Vietnam","VNM","Renewable internal freshwater resources per capita (cubic meters)","2018",3761.749882
"259","Vanuatu","VUT","Renewable internal freshwater resources per capita (cubic meters)","2018",34167.59204
"260","World","WLD","Renewable internal freshwater resources per capita (cubic meters)","2018",5658.060037
"263","Yemen, Rep.","YEM","Renewable internal freshwater resources per capita (cubic meters)","2018",73.68761567
"264","South Africa","ZAF","Renewable internal freshwater resources per capita (cubic meters)","2018",775.1868235
"265","Zambia","ZMB","Renewable internal freshwater resources per capita (cubic meters)","2018",4622.021778
"266","Zimbabwe","ZWE","Renewable internal freshwater resources per capita (cubic meters)","2018",849.1003276
"268","Africa Eastern and Southern","AFE","Renewable internal freshwater resources per capita (cubic meters)","1962",17887.78687
"269","Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","1962",5042.003148
"270","Africa Western and Central","AFW","Renewable internal freshwater resources per capita (cubic meters)","1962",18888.64214
"271","Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","1962",26388.52213
"272","Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","1962",15718.86948
"273","Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","1962",20521.49034
"274","Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","1962",1208.615449
"275","United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","1962",1337.947767
"276","Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","1962",13804.16112
"279","Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","1962",931.0820247
"280","Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)","1962",45801.52672
"281","Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","1962",7714.032133
"283","Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","1962",3460.231416
"284","Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","1962",1301.436851
"285","Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","1962",4115.23127
"286","Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","1962",2519.994646
"287","Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","1962",2068.87787
"288","Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","1962",2620.758957
"289","Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","1962",23.10269146
"290","Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","1962",5780.728702
"293","Belize","BLZ","Renewable internal freshwater resources per capita (cubic meters)","1962",156686.3808
"295","Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)","1962",79805.50072
"296","Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)","1962",73986.14186
"297","Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)","1962",343.9040852
"298","Brunei Darussalam","BRN","Renewable internal freshwater resources per capita (cubic meters)","1962",94989.04832
"299","Bhutan","BTN","Renewable internal freshwater resources per capita (cubic meters)","1962",405027.4566
"300","Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)","1962",4582.102689
"301","Central African Republic","CAF","Renewable internal freshwater resources per capita (cubic meters)","1962",90855.90125
"302","Canada","CAN","Renewable internal freshwater resources per capita (cubic meters)","1962",153110.5619
"303","Central Europe and the Baltics","CEB","Renewable internal freshwater resources per capita (cubic meters)","1962",1833.887491
"304","Switzerland","CHE","Renewable internal freshwater resources per capita (cubic meters)","1962",7248.177415
"306","Chile","CHL","Renewable internal freshwater resources per capita (cubic meters)","1962",104401.4347
"307","China","CHN","Renewable internal freshwater resources per capita (cubic meters)","1962",4225.032669
"308","Cote d'Ivoire","CIV","Renewable internal freshwater resources per capita (cubic meters)","1962",20377.87648
"309","Cameroon","CMR","Renewable internal freshwater resources per capita (cubic meters)","1962",50567.44827
"310","Congo, Dem. Rep.","COD","Renewable internal freshwater resources per capita (cubic meters)","1962",56105.57373
"311","Congo, Rep.","COG","Renewable internal freshwater resources per capita (cubic meters)","1962",207624.8836
"312","Colombia","COL","Renewable internal freshwater resources per capita (cubic meters)","1962",125490.5613
"313","Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)","1962",6085.130982
"314","Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)","1962",1427.612888
"315","Costa Rica","CRI","Renewable internal freshwater resources per capita (cubic meters)","1962",78836.51261
"316","Caribbean small states","CSS","Renewable internal freshwater resources per capita (cubic meters)","1962",85349.37453
"317","Cuba","CUB","Renewable internal freshwater resources per capita (cubic meters)","1962",5114.351781
"320","Cyprus","CYP","Renewable internal freshwater resources per capita (cubic meters)","1962",1350.191104
"322","Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","1962",1445.442307
"323","Djibouti","DJI","Renewable internal freshwater resources per capita (cubic meters)","1962",3184.611955
"324","Dominica","DMA","Renewable internal freshwater resources per capita (cubic meters)","1962",3226.951499
"325","Denmark","DNK","Renewable internal freshwater resources per capita (cubic meters)","1962",1290.953621
"326","Dominican Republic","DOM","Renewable internal freshwater resources per capita (cubic meters)","1962",6674.206153
"327","Algeria","DZA","Renewable internal freshwater resources per capita (cubic meters)","1962",967.9144993
"328","East Asia & Pacific (excluding high income)","EAP","Renewable internal freshwater resources per capita (cubic meters)","1962",9692.753104
"329","Early-demographic dividend","EAR","Renewable internal freshwater resources per capita (cubic meters)","1962",12007.32987
"330","East Asia & Pacific","EAS","Renewable internal freshwater resources per capita (cubic meters)","1962",9692.520175
"333","Ecuador","ECU","Renewable internal freshwater resources per capita (cubic meters)","1962",91990.46659
"334","Egypt, Arab Rep.","EGY","Renewable internal freshwater resources per capita (cubic meters)","1962",35.57167126
"335","Euro area","EMU","Renewable internal freshwater resources per capita (cubic meters)","1962",3614.716157
"337","Spain","ESP","Renewable internal freshwater resources per capita (cubic meters)","1962",3584.395065
"340","European Union","EUU","Renewable internal freshwater resources per capita (cubic meters)","1962",3654.582351
"341","Fragile and conflict affected situations","FCS","Renewable internal freshwater resources per capita (cubic meters)","1962",27144.71441
"342","Finland","FIN","Renewable internal freshwater resources per capita (cubic meters)","1962",23823.07869
"343","Fiji","FJI","Renewable internal freshwater resources per capita (cubic meters)","1962",67706.49295
"344","France","FRA","Renewable internal freshwater resources per capita (cubic meters)","1962",4174.940093
"347","Gabon","GAB","Renewable internal freshwater resources per capita (cubic meters)","1962",320760.4369
"348","United Kingdom","GBR","Renewable internal freshwater resources per capita (cubic meters)","1962",2723.004695
"350","Ghana","GHA","Renewable internal freshwater resources per capita (cubic meters)","1962",4284.522861
"352","Guinea","GIN","Renewable internal freshwater resources per capita (cubic meters)","1962",62579.12383
"353","Gambia, The","GMB","Renewable internal freshwater resources per capita (cubic meters)","1962",7897.105974
"354","Guinea-Bissau","GNB","Renewable internal freshwater resources per capita (cubic meters)","1962",25442.17709
"355","Equatorial Guinea","GNQ","Renewable internal freshwater resources per capita (cubic meters)","1962",99153.76079
"356","Greece","GRC","Renewable internal freshwater resources per capita (cubic meters)","1962",6865.340954
"357","Grenada","GRD","Renewable internal freshwater resources per capita (cubic meters)","1962",2162.606373
"359","Guatemala","GTM","Renewable internal freshwater resources per capita (cubic meters)","1962",24939.45559
