"","pais","CountryCode","indicador","X2018","X1962"
"126","St. Kitts and Nevis","KNA","Renewable internal freshwater resources per capita (cubic meters)",457.6833594,470.9483723
"127","Korea, Rep.","KOR","Renewable internal freshwater resources per capita (cubic meters)",1257.146982,2445.967134
"128","Kuwait","KWT","Renewable internal freshwater resources per capita (cubic meters)",0,0
"129","Latin America & Caribbean (excluding high income)","LAC","Renewable internal freshwater resources per capita (cubic meters)",20607.68654,57634.47366
"130","Lao PDR","LAO","Renewable internal freshwater resources per capita (cubic meters)",26963.11746,85722.40259
"131","Lebanon","LBN","Renewable internal freshwater resources per capita (cubic meters)",699.768843,2493.12443
"132","Liberia","LBR","Renewable internal freshwater resources per capita (cubic meters)",41502.59308,171430.8735
"133","Libya","LBY","Renewable internal freshwater resources per capita (cubic meters)",104.8129351,451.375567
"134","St. Lucia","LCA","Renewable internal freshwater resources per capita (cubic meters)",1649.348507,3264.702042
"135","Latin America & Caribbean","LCN","Renewable internal freshwater resources per capita (cubic meters)",21671.61414,59791.65065
"136","Least developed countries: UN classification","LDC","Renewable internal freshwater resources per capita (cubic meters)",4546.9264,20555.71238
"137","Low income","LIC","Renewable internal freshwater resources per capita (cubic meters)",4047.627242,22051.42055
"138","Liechtenstein","LIE","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"139","Sri Lanka","LKA","Renewable internal freshwater resources per capita (cubic meters)",2436.548223,5100.374993
"140","Lower middle income","LMC","Renewable internal freshwater resources per capita (cubic meters)",2813.326204,9124.792711
"141","Low & middle income","LMY","Renewable internal freshwater resources per capita (cubic meters)",5015.978731,13113.71953
"142","Lesotho","LSO","Renewable internal freshwater resources per capita (cubic meters)",2480.639863,6017.497917
"143","Late-demographic dividend","LTE","Renewable internal freshwater resources per capita (cubic meters)",7956.357149,14444.34838
"144","Lithuania","LTU","Renewable internal freshwater resources per capita (cubic meters)",5518.387546,NA
"145","Luxembourg","LUX","Renewable internal freshwater resources per capita (cubic meters)",1644.872111,3117.692907
"146","Latvia","LVA","Renewable internal freshwater resources per capita (cubic meters)",8790.072925,NA
"147","Macao SAR, China","MAC","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"148","St. Martin (French part)","MAF","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"149","Morocco","MAR","Renewable internal freshwater resources per capita (cubic meters)",804.9051698,2214.604323
"150","Monaco","MCO","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"151","Moldova","MDA","Renewable internal freshwater resources per capita (cubic meters)",598.1802029,NA
"152","Madagascar","MDG","Renewable internal freshwater resources per capita (cubic meters)",12832.07614,62961.26836
"153","Maldives","MDV","Renewable internal freshwater resources per capita (cubic meters)",58.17290539,316.1155719
"154","Middle East & North Africa","MEA","Renewable internal freshwater resources per capita (cubic meters)",513.3446055,2068.221311
"155","Mexico","MEX","Renewable internal freshwater resources per capita (cubic meters)",3241.124221,10175.31445
"156","Marshall Islands","MHL","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"157","Middle income","MIC","Renewable internal freshwater resources per capita (cubic meters)",5126.2968,12598.43191
"158","North Macedonia","MKD","Renewable internal freshwater resources per capita (cubic meters)",2600.884204,NA
"159","Mali","MLI","Renewable internal freshwater resources per capita (cubic meters)",3145.024139,11149.58337
"160","Malta","MLT","Renewable internal freshwater resources per capita (cubic meters)",104.2032066,155.9123186
"161","Myanmar","MMR","Renewable internal freshwater resources per capita (cubic meters)",18671.22333,44180.75798
"162","Middle East & North Africa (excluding high income)","MNA","Renewable internal freshwater resources per capita (cubic meters)",589.2804679,2187.14414
"163","Montenegro","MNE","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"164","Mongolia","MNG","Renewable internal freshwater resources per capita (cubic meters)",10977.17694,34410.23527
"165","Northern Mariana Islands","MNP","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"166","Mozambique","MOZ","Renewable internal freshwater resources per capita (cubic meters)",3400.460042,13360.31326
"167","Mauritania","MRT","Renewable internal freshwater resources per capita (cubic meters)",90.84071263,443.6114407
"168","Mauritius","MUS","Renewable internal freshwater resources per capita (cubic meters)",2174.182785,3928.041591
"169","Malawi","MWI","Renewable internal freshwater resources per capita (cubic meters)",889.5887526,4204.168378
"170","Malaysia","MYS","Renewable internal freshwater resources per capita (cubic meters)",18396.32685,66725.43874
"171","North America","NAC","Renewable internal freshwater resources per capita (cubic meters)",15575.56709,27628.29512
"172","Namibia","NAM","Renewable internal freshwater resources per capita (cubic meters)",2516.031532,9261.500574
"173","New Caledonia","NCL","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"174","Niger","NER","Renewable internal freshwater resources per capita (cubic meters)",155.9518048,975.4118189
"175","Nigeria","NGA","Renewable internal freshwater resources per capita (cubic meters)",1128.272395,4699.146401
"176","Nicaragua","NIC","Renewable internal freshwater resources per capita (cubic meters)",24160.53695,82763.50967
"177","Netherlands","NLD","Renewable internal freshwater resources per capita (cubic meters)",638.3611899,931.7541738
"178","Norway","NOR","Renewable internal freshwater resources per capita (cubic meters)",71913.78779,104976.2594
"179","Nepal","NPL","Renewable internal freshwater resources per capita (cubic meters)",7054.457278,18997.14439
